company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,row_num
Bullish,"Hong Kong",Crypto,30,0.08,7/5/2022,Unknown,"Hong Kong",300,1
Bybit,Singapore,Crypto,NULL,NULL,6/20/2022,Unknown,Singapore,NULL,1
Bybit,Singapore,Crypto,NULL,0.3,12/3/2022,Unknown,Singapore,NULL,1
Bybit,Singapore,Crypto,600,0.3,6/20/2022,Unknown,Singapore,NULL,1
"Candy Digital","New York City",Crypto,33,0.33,11/28/2022,"Series A","United States",100,1
Celsius,"New York City",Crypto,150,0.25,7/3/2022,"Series B","United States",864,1
Chainalysis,"New York City",Crypto,44,0.05,2/1/2023,"Series F","United States",536,1
CipherTrace,"SF Bay Area",Crypto,NULL,NULL,4/9/2020,Unknown,"United States",18,1
Coinbase,"SF Bay Area",Crypto,60,NULL,11/10/2022,Post-IPO,"United States",549,1
Coinbase,"SF Bay Area",Crypto,950,0.2,1/10/2023,Post-IPO,"United States",549,1
Coinbase,"SF Bay Area",Crypto,1100,0.18,6/14/2022,Post-IPO,"United States",549,1
CoinDCX,Mumbai,Crypto,80,NULL,1/11/2023,"Series D",India,244,1
CoinFLEX,Victoria,Crypto,NULL,NULL,7/29/2022,Unknown,Seychelles,11,1
CoinJar,Melbourne,Crypto,10,0.2,11/29/2022,Unknown,Australia,1,1
