company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,row_num,company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
Airbnb,"SF Bay Area",,30,NULL,2023-03-03,Post-IPO,"United States",6400,1,Airbnb,"SF Bay Area",,30,NULL,3/3/2023,Post-IPO,"United States",6400
Airbnb,"SF Bay Area",,30,NULL,2023-03-03,Post-IPO,"United States",6400,1,Airbnb,"SF Bay Area",Travel,1900,0.25,5/5/2020,"Private Equity","United States",5400
Carvana,Phoenix,,2500,0.12,2022-05-10,Post-IPO,"United States",1600,1,Carvana,Phoenix,Transportation,NULL,NULL,1/13/2023,Post-IPO,"United States",1600
Carvana,Phoenix,,2500,0.12,2022-05-10,Post-IPO,"United States",1600,1,Carvana,Phoenix,Transportation,1500,0.08,11/18/2022,Post-IPO,"United States",1600
Carvana,Phoenix,,2500,0.12,2022-05-10,Post-IPO,"United States",1600,1,Carvana,Phoenix,,2500,0.12,5/10/2022,Post-IPO,"United States",1600
Juul,"SF Bay Area",,400,0.3,2022-11-10,Unknown,"United States",1500,1,Juul,"SF Bay Area",,400,0.3,11/10/2022,Unknown,"United States",1500
Juul,"SF Bay Area",,400,0.3,2022-11-10,Unknown,"United States",1500,1,Juul,"SF Bay Area",Consumer,900,0.3,5/5/2020,Unknown,"United States",1500
